"A_topic","B_topic","cosine_similarity","topic_words_A","topic_words_B"
"modi_speeches.rds_topic_0","orban_speeches.rds_topic_0",NA,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","polgármester, város, polgármester úr, ipari, tisztelt hölgyeim, hölgyeim, hölgyeim uraim, városa, uraim, megállapodtunk"
"modi_speeches.rds_topic_0","orban_speeches.rds_topic_1",NA,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","semlegesség, gazdasági, miniszter, magyarország, gazdasági semlegesség, tisztelt, önök, úr, elnökség, elnök"
"modi_speeches.rds_topic_0","orban_speeches.rds_topic_2",NA,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","járvány, vírus, egészségügyi, járványügyi, operatív, védekezés, ugye, vakcina, nagyon, orvosok"
"modi_speeches.rds_topic_0","orban_speeches.rds_topic_3",NA,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","tisztelt hölgyeim, hölgyeim, hölgyeim uraim, uraim, tisztelt, magyar, 2010, önök, amely, azt"
"modi_speeches.rds_topic_0","orban_speeches.rds_topic_4",NA,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","ünneplők, tisztelt ünneplők, szabadság, 1956, 56, magyarok, petőfi, szovjet, 1848, nemzet"
"modi_speeches.rds_topic_0","orban_speeches.rds_topic_5",NA,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","ők, uniós, európai, én, emberek, például, ezt, ott, unió, ugye"
"modi_speeches.rds_topic_0","orban_speeches.rds_topic_6",NA,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","tisztelt hölgyeim, duna, uraim, hölgyeim, hölgyeim uraim, hungarian, kínai, tisztelt, nyugati, világ"
"modi_speeches.rds_topic_0","orban_speeches.rds_topic_7",NA,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","háború, ebből háborúból, béke, háborúból, nato, tűzszünet, háborúban, háborús, ukrajna, biztonságát"
"modi_speeches.rds_topic_0","orban_speeches.rds_topic_8",NA,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","alkotmány, amikor, tisztelt hölgyeim, talán, politikai, hölgyeim, uraim, hölgyeim uraim, volt, ilyen"
"modi_speeches.rds_topic_0","orban_speeches.rds_topic_9",NA,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","szerb, szerbia, szerbiában, vučić, szerbek, albánia, vučić miniszterelnök, szerb magyar, szerbiának, miniszterelnök"
"modi_speeches.rds_topic_0","orban_speeches.rds_topic_10",NA,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","ugye, egyébként, emberek, én, ön, például, ezt, kell, szerintem, erről"
"modi_speeches.rds_topic_0","orban_speeches.rds_topic_11",NA,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","olimpiai, sport, puskás, futball, olimpia, mtk, magyar sport, magyar futball, öcsi, olimpián"
"modi_speeches.rds_topic_0","orban_speeches.rds_topic_12",NA,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","védekezés, árhullám, legmagasabb, víz, homokzsákot, vízügyesek, vízszint, védekezésben, kilométeren, apadás"
